park,complaints_2024_26,citations_2024_26,complaint_citation_ratio,latitude,longitude,provenance
MATTHEWS BEACH PARK,5,0,,47.69604,-122.273375,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
BITTER LAKE PLAYFIELD,3,2,1.5,47.724159,-122.349259,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
FIRST HILL PARK,5,0,,47.611902,-122.325499,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
DR. BLANCHE LAVIZZO PARK,5,0,,47.600272,-122.304163,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
LAKE UNION PARK,5,0,,47.62694,-122.337457,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
ROANOKE PARK,3,1,3.0,47.643717,-122.320169,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
GEORGETOWN PLAYFIELD,4,0,,47.551613,-122.32138,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
DEARBORN PARK,4,0,,47.553563,-122.296766,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
BRYANT NEIGHBORHOOD PLAYGROUND,3,1,3.0,47.675293,-122.28363,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
COWEN PARK,4,0,,47.67259,-122.313057,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
BROADWAY HILL PARK,3,0,,47.62336,-122.318514,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
LESCHI PARK,0,3,0.0,47.600919,-122.28778,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
ERCOLINI PARK,3,0,,47.561508,-122.393069,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
POWELL BARNETT PARK,1,2,0.5,47.605191,-122.295983,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
CROWN HILL PARK,3,0,,47.696574,-122.373324,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
SMITH COVE PARK,1,2,0.5,47.631688,-122.386009,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
17TH & DOCK PAVEMENT TO PARK,3,0,,47.665312,-122.378903,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
